experiment;total_predictions;correct_predictions;not_embedded_sentences;accuracy
AOC/en2/mono/NoSpec/13/Average;500;91;0;18.2
AOC/en/multi/NoSpec/2/Average;500;17;0;3.4000000000000004
AOC/en/multi/NoSpec/3/Average;500;24;0;4.8
AOC/en/multi/NoSpec/4/Average;500;24;0;4.8
AOC/en/multi/NoSpec/5/Average;500;24;0;4.8
AOC/en/multi/NoSpec/6/Average;500;22;0;4.4
AOC/en/multi/NoSpec/7/Average;500;22;0;4.4
AOC/en/multi/NoSpec/8/Average;500;20;0;4.0
AOC/en/multi/NoSpec/9/Average;500;18;0;3.6
AOC/en/multi/NoSpec/10/Average;500;17;0;3.4000000000000004
AOC/en/multi/NoSpec/11/Average;500;17;0;3.4000000000000004
AOC/en/multi/NoSpec/12/Average;500;17;0;3.4000000000000004
AOC/en/multi/NoSpec/0/First;500;24;0;4.8
AOC/en/multi/NoSpec/1/First;500;24;0;4.8
AOC/en/multi/NoSpec/2/First;500;22;0;4.4
AOC/en/multi/NoSpec/3/First;500;18;0;3.6
AOC/en/multi/NoSpec/4/First;500;17;0;3.4000000000000004
AOC/en/multi/NoSpec/5/First;500;17;0;3.4000000000000004
AOC/en/multi/NoSpec/0/Last;500;15;0;3.0
AOC/en/multi/NoSpec/1/Last;500;14;0;2.8000000000000003
AOC/en/multi/NoSpec/2/Last;500;14;0;2.8000000000000003
AOC/en/multi/NoSpec/3/Last;500;14;0;2.8000000000000003
AOC/en/multi/NoSpec/4/Last;500;14;0;2.8000000000000003
AOC/en/multi/NoSpec/5/Last;500;17;0;3.4000000000000004
AOC/en/multi/NoSpec/0/Unique;500;12;0;2.4
AOC/en/multi/NoSpec/1/Unique;500;29;0;5.800000000000001
AOC/en/multi/NoSpec/2/Unique;500;31;0;6.2
AOC/en/multi/NoSpec/3/Unique;500;17;0;3.4000000000000004
AOC/en/multi/NoSpec/4/Unique;500;11;0;2.2
AOC/en/multi/NoSpec/5/Unique;500;12;0;2.4
AOC/en/multi/NoSpec/6/Unique;500;14;0;2.8000000000000003
AOC/en/multi/NoSpec/7/Unique;500;13;0;2.6
AOC/en/multi/NoSpec/8/Unique;500;12;0;2.4
AOC/en/multi/NoSpec/9/Unique;500;13;0;2.6
AOC/en/multi/NoSpec/10/Unique;500;12;0;2.4
AOC/en/multi/NoSpec/11/Unique;500;18;0;3.6
AOC/en/multi/NoSpec/12/Unique;500;26;0;5.2
AOC/en/multi/All/1/Average;500;9;0;1.7999999999999998
AOC/en/multi/All/2/Average;500;10;0;2.0
AOC/en/multi/All/3/Average;500;11;0;2.2
AOC/en/multi/All/4/Average;500;10;0;2.0
AOC/en/multi/All/5/Average;500;9;0;1.7999999999999998
AOC/en/multi/All/6/Average;500;9;0;1.7999999999999998
AOC/en/multi/All/7/Average;500;9;0;1.7999999999999998
AOC/en/multi/All/8/Average;500;11;0;2.2
AOC/en/multi/All/9/Average;500;11;0;2.2
AOC/en/multi/All/10/Average;500;14;0;2.8000000000000003
AOC/en/multi/All/11/Average;500;14;0;2.8000000000000003
AOC/en/multi/All/12/Average;500;13;0;2.6
AOC/en/multi/All/0/First;500;11;0;2.2
AOC/en/multi/All/1/First;500;9;0;1.7999999999999998
AOC/en/multi/All/2/First;500;9;0;1.7999999999999998
AOC/en/multi/All/3/First;500;11;0;2.2
AOC/en/multi/All/4/First;500;14;0;2.8000000000000003
AOC/en/multi/All/5/First;500;13;0;2.6
AOC/en/multi/All/0/Last;500;22;0;4.4
AOC/en/multi/All/1/Last;500;24;0;4.8
AOC/en/multi/All/2/Last;500;18;0;3.6
AOC/en/multi/All/3/Last;500;18;0;3.6
AOC/en/multi/All/4/Last;500;12;0;2.4
AOC/en/multi/All/5/Last;500;13;0;2.6
AOC/en/multi/All/0/Unique;500;9;0;1.7999999999999998
AOC/en/multi/All/1/Unique;500;13;0;2.6
AOC/en/multi/All/2/Unique;500;10;0;2.0
AOC/en/multi/All/3/Unique;500;9;0;1.7999999999999998
AOC/en/multi/All/4/Unique;500;10;0;2.0
AOC/en/multi/All/5/Unique;500;11;0;2.2
AOC/en/multi/All/6/Unique;500;14;0;2.8000000000000003
AOC/en/multi/All/7/Unique;500;24;0;4.8
AOC/en/multi/All/8/Unique;500;23;0;4.6
AOC/en/multi/All/9/Unique;500;24;0;4.8
AOC/en/multi/All/10/Unique;500;23;0;4.6
AOC/en/multi/All/11/Unique;500;30;0;6.0
AOC/en/multi/All/12/Unique;500;29;0;5.800000000000001
AOC/en/multi/WithCLS/1/Average;500;9;0;1.7999999999999998
AOC/en/multi/WithCLS/2/Average;500;10;0;2.0
AOC/en/multi/WithCLS/3/Average;500;11;0;2.2
AOC/en/multi/WithCLS/4/Average;500;11;0;2.2
AOC/en/multi/WithCLS/5/Average;500;11;0;2.2
AOC/en/multi/WithCLS/6/Average;500;11;0;2.2
AOC/en/multi/WithCLS/7/Average;500;11;0;2.2
AOC/en/multi/WithCLS/8/Average;500;12;0;2.4
AOC/en/multi/WithCLS/9/Average;500;13;0;2.6
AOC/en/multi/WithCLS/10/Average;500;13;0;2.6
AOC/en/multi/WithCLS/11/Average;500;14;0;2.8000000000000003
AOC/en/multi/WithCLS/12/Average;500;14;0;2.8000000000000003
AOC/en/multi/WithCLS/0/First;500;11;0;2.2
AOC/en/multi/WithCLS/1/First;500;11;0;2.2
AOC/en/multi/WithCLS/2/First;500;11;0;2.2
