experiment;total_predictions;correct_predictions;not_embedded_sentences;accuracy
AOC/en/mono/NoSpec/10/Average;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/2/Average;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/3/Average;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/4/Average;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/5/Average;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/6/Average;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/7/Average;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/8/Average;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/9/Average;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/10/Average;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/11/Average;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/12/Average;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/0/First;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/1/First;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/2/First;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/3/First;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/4/First;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/5/First;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/0/Last;217;7;9;3.225806451612903
AOC/en/multi/NoSpec/1/Last;217;7;9;3.225806451612903
AOC/en/multi/NoSpec/2/Last;217;7;9;3.225806451612903
AOC/en/multi/NoSpec/3/Last;217;7;9;3.225806451612903
AOC/en/multi/NoSpec/4/Last;217;7;9;3.225806451612903
AOC/en/multi/NoSpec/5/Last;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/0/Unique;217;10;9;4.6082949308755765
AOC/en/multi/NoSpec/1/Unique;217;9;9;4.147465437788019
AOC/en/multi/NoSpec/2/Unique;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/3/Unique;217;7;9;3.225806451612903
AOC/en/multi/NoSpec/4/Unique;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/5/Unique;217;10;9;4.6082949308755765
AOC/en/multi/NoSpec/6/Unique;217;10;9;4.6082949308755765
AOC/en/multi/NoSpec/7/Unique;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/8/Unique;217;6;9;2.7649769585253456
AOC/en/multi/NoSpec/9/Unique;217;7;9;3.225806451612903
AOC/en/multi/NoSpec/10/Unique;217;8;9;3.686635944700461
AOC/en/multi/NoSpec/11/Unique;217;7;9;3.225806451612903
AOC/en/multi/NoSpec/12/Unique;217;6;9;2.7649769585253456
AOC/en/multi/All/1/Average;226;9;0;3.982300884955752
AOC/en/multi/All/2/Average;226;12;0;5.3097345132743365
AOC/en/multi/All/3/Average;226;12;0;5.3097345132743365
AOC/en/multi/All/4/Average;226;11;0;4.867256637168142
AOC/en/multi/All/5/Average;226;14;0;6.1946902654867255
AOC/en/multi/All/6/Average;226;15;0;6.637168141592921
AOC/en/multi/All/7/Average;226;14;0;6.1946902654867255
AOC/en/multi/All/8/Average;226;15;0;6.637168141592921
AOC/en/multi/All/9/Average;226;15;0;6.637168141592921
AOC/en/multi/All/10/Average;226;13;0;5.752212389380531
AOC/en/multi/All/11/Average;226;13;0;5.752212389380531
AOC/en/multi/All/12/Average;226;14;0;6.1946902654867255
AOC/en/multi/All/0/First;226;12;0;5.3097345132743365
AOC/en/multi/All/1/First;226;14;0;6.1946902654867255
AOC/en/multi/All/2/First;226;14;0;6.1946902654867255
AOC/en/multi/All/3/First;226;15;0;6.637168141592921
AOC/en/multi/All/4/First;226;13;0;5.752212389380531
AOC/en/multi/All/5/First;226;13;0;5.752212389380531
AOC/en/multi/All/0/Last;226;4;0;1.7699115044247788
AOC/en/multi/All/1/Last;226;14;0;6.1946902654867255
AOC/en/multi/All/2/Last;226;9;0;3.982300884955752
AOC/en/multi/All/3/Last;226;12;0;5.3097345132743365
AOC/en/multi/All/4/Last;226;13;0;5.752212389380531
AOC/en/multi/All/5/Last;226;13;0;5.752212389380531
AOC/en/multi/All/0/Unique;226;9;0;3.982300884955752
AOC/en/multi/All/1/Unique;226;11;0;4.867256637168142
AOC/en/multi/All/2/Unique;226;14;0;6.1946902654867255
AOC/en/multi/All/3/Unique;226;15;0;6.637168141592921
AOC/en/multi/All/4/Unique;226;14;0;6.1946902654867255
AOC/en/multi/All/5/Unique;226;10;0;4.424778761061947
AOC/en/multi/All/6/Unique;226;8;0;3.5398230088495577
AOC/en/multi/All/7/Unique;226;13;0;5.752212389380531
AOC/en/multi/All/8/Unique;226;8;0;3.5398230088495577
AOC/en/multi/All/9/Unique;226;12;0;5.3097345132743365
